rule,support,confidence
凉拌菠菜---剁椒鱼头---辣炒鱿鱼---芹菜炒腰花,0.018,0.531
凉拌菠菜---焖猪手---蒙古烤羊腿---自制猪肉脯,0.018,0.531
凉拌菠菜---焖猪手---蒙古烤羊腿---豌豆薯仔猪骨汤,0.018,0.531
自制猪肉脯---蒙古烤羊腿---芹菜炒腰花,0.018,0.531
焖猪手---自制猪肉脯---芹菜炒腰花---辣炒鱿鱼---谷稻小庄,0.018,0.586
凉拌菠菜---自制猪肉脯---蒙古烤羊腿---焖猪手,0.018,0.739
焖猪手---谷稻小庄---辣炒鱿鱼---芹菜炒腰花,0.018,0.654
凉拌菠菜---水煮鱼---蒙古烤羊腿---辣炒鱿鱼,0.018,0.739
清爽拌凉面---辣炒鱿鱼---五色糯米饭(七色),0.018,0.739
焖猪手---芹菜炒腰花---蒙古烤羊腿---辣炒鱿鱼,0.018,0.944
凉拌菠菜---自制猪肉脯---豌豆薯仔猪骨汤---焖猪手,0.018,0.944
芹菜炒腰花---蒙古烤羊腿---自制猪肉脯,0.018,0.548
焖猪手---芹菜炒腰花---谷稻小庄---辣炒鱿鱼,0.018,0.654
凉拌菠菜---剁椒鱼头---自制猪肉脯---焖猪手,0.018,0.654
凉拌菠菜---剁椒鱼头---芹菜炒腰花---辣炒鱿鱼,0.018,0.654
姜葱炒花蟹---辣炒鱿鱼---蒙古烤羊腿,0.018,0.548
清爽拌凉面---谷稻小庄---五色糯米饭(七色),0.018,0.654
清蒸海鱼---自制猪肉脯---谷稻小庄,0.018,0.654
炝炒大白菜---自制猪肉脯---焖猪手,0.018,0.654
芹菜炒腰花---麻辣小龙虾---焖猪手,0.018,0.654
自制猪肉脯---芹菜炒腰花---谷稻小庄---辣炒鱿鱼---焖猪手,0.018,0.85
剁椒鱼头---焖猪手---蒙古烤羊腿---辣炒鱿鱼,0.018,0.85
焖猪手---自制猪肉脯---蒙古烤羊腿---辣炒鱿鱼,0.018,0.85
焖猪手---爆炒猪肝---辣炒鱿鱼---自制猪肉脯,0.018,0.85
剁椒鱼头---芹菜炒腰花---辣炒鱿鱼---凉拌菠菜,0.018,0.85
焖猪手---自制猪肉脯---蒙古烤羊腿---凉拌菠菜,0.018,0.85
焖猪手---自制猪肉脯---芹菜炒腰花---谷稻小庄---辣炒鱿鱼,0.018,0.68
剁椒鱼头---焖猪手---辣炒鱿鱼---蒙古烤羊腿,0.018,0.68
凉拌菠菜---爆炒猪肝---辣炒鱿鱼---自制猪肉脯,0.018,0.68
姜葱炒花蟹---蒙古烤羊腿---辣炒鱿鱼,0.018,0.548
姜葱炒花蟹---蒙古烤羊腿---焖猪手,0.018,0.548
焖猪手---芹菜炒腰花---谷稻小庄---辣炒鱿鱼---自制猪肉脯,0.018,1.0
姜葱炒花蟹---辣炒鱿鱼---焖猪手,0.018,0.548
焖猪手---蒙古烤羊腿---辣炒鱿鱼---自制猪肉脯,0.018,0.586
焖猪手---蒙古烤羊腿---辣炒鱿鱼---芹菜炒腰花,0.018,0.586
焖猪手---爆炒猪肝---自制猪肉脯---辣炒鱿鱼,0.018,0.586
凉拌菠菜---剁椒鱼头---焖猪手---自制猪肉脯,0.018,0.586
凉拌菠菜---水煮鱼---辣炒鱿鱼---蒙古烤羊腿,0.018,0.586
爆炒猪肝---芹菜炒腰花---辣炒鱿鱼---凉拌菠菜,0.018,0.773
爆炒猪肝---自制猪肉脯---辣炒鱿鱼---凉拌菠菜,0.018,0.773
爆炒猪肝---自制猪肉脯---辣炒鱿鱼---焖猪手,0.018,0.773
芹菜炒腰花---蒙古烤羊腿---辣炒鱿鱼---焖猪手,0.018,0.773
爆炒猪肝---芹菜炒腰花---辣炒鱿鱼---自制猪肉脯,0.018,0.773
爆炒猪肝---自制猪肉脯---辣炒鱿鱼---芹菜炒腰花,0.018,0.773
清蒸海鱼---辣炒鱿鱼---谷稻小庄,0.018,0.607
美妙绝伦之白莲花---芹菜炒腰花---焖猪手,0.018,0.607
炝炒大白菜---焖猪手---谷稻小庄,0.018,0.567
炝炒大白菜---焖猪手---自制猪肉脯,0.018,0.567
剁椒鱼头---爆炒猪肝---辣炒鱿鱼,0.018,0.567
凉拌菠菜---焖猪手---豌豆薯仔猪骨汤---蒙古烤羊腿,0.018,0.567
凉拌菠菜---焖猪手---豌豆薯仔猪骨汤---自制猪肉脯,0.018,0.567
凉拌菠菜---爆炒猪肝---芹菜炒腰花---辣炒鱿鱼,0.018,0.567
爆炒猪肝---自制猪肉脯---芹菜炒腰花---辣炒鱿鱼,0.018,0.567
清蒸海鱼---爆炒猪肝---凉拌菠菜,0.018,0.607
剁椒鱼头---焖猪手---自制猪肉脯---凉拌菠菜,0.018,0.81
水煮鱼---蒙古烤羊腿---辣炒鱿鱼---凉拌菠菜,0.018,0.81
剁椒鱼头---蒙古烤羊腿---辣炒鱿鱼---焖猪手,0.018,0.63
凉拌菠菜---豌豆薯仔猪骨汤---辣炒鱿鱼---蒙古烤羊腿,0.018,0.63
凉拌菠菜---爆炒猪肝---自制猪肉脯---辣炒鱿鱼,0.018,0.63
姜葱炒花蟹---焖猪手---蒙古烤羊腿,0.018,0.63
姜葱炒花蟹---焖猪手---辣炒鱿鱼,0.018,0.63
剁椒鱼头---麻辣小龙虾---凉拌菠菜,0.018,0.548
凉拌菠菜---爆炒猪肝---辣炒鱿鱼---芹菜炒腰花,0.018,0.68
焖猪手---蒙古烤羊腿---辣炒鱿鱼---剁椒鱼头,0.018,0.586
五色糯米饭(七色)---清爽拌凉面---谷稻小庄,0.018,0.515
焖猪手---自制猪肉脯---豌豆薯仔猪骨汤---凉拌菠菜,0.018,0.708
爆炒猪肝---豌豆薯仔猪骨汤---凉拌菠菜,0.018,0.708
焖猪手---蒙古烤羊腿---豌豆薯仔猪骨汤---凉拌菠菜,0.018,0.895
蒙古烤羊腿---豌豆薯仔猪骨汤---辣炒鱿鱼---凉拌菠菜,0.018,0.895
焖猪手---自制猪肉脯---谷稻小庄---辣炒鱿鱼---芹菜炒腰花,0.018,0.895
焖猪手---芹菜炒腰花---辣炒鱿鱼---谷稻小庄,0.018,0.515
五色糯米饭(七色)---清爽拌凉面---辣炒鱿鱼,0.018,0.515
焖猪手---美妙绝伦之白莲花---芹菜炒腰花,0.018,0.515
凉拌菠菜---蒙古烤羊腿---豌豆薯仔猪骨汤---焖猪手,0.018,0.708
焖猪手---芹菜炒腰花---辣炒鱿鱼---蒙古烤羊腿,0.018,0.515
芹菜炒腰花---谷稻小庄---辣炒鱿鱼---焖猪手,0.018,0.708
凉拌菠菜---蒙古烤羊腿---豌豆薯仔猪骨汤---辣炒鱿鱼,0.018,0.708
水煮鱼---芹菜炒腰花---辣炒鱿鱼,0.017,0.696
爆炒猪肝---美妙绝伦之白莲花---凉拌菠菜,0.017,0.696
凉拌菠菜---姜葱炒花蟹---蒙古烤羊腿---焖猪手,0.017,0.762
凉拌菠菜---孜然羊排---蒙古烤羊腿---辣炒鱿鱼,0.017,0.533
凉拌菠菜---焖猪手---豌豆薯仔猪骨汤---剁椒鱼头,0.017,0.533
凉拌菠菜---剁椒鱼头---蒙古烤羊腿---焖猪手,0.017,0.533
炝炒大白菜---焖猪手---凉拌菠菜,0.017,0.533
水煮鱼---香酥两吃大虾---凉拌菠菜,0.017,0.533
焖猪手---自制猪肉脯---芹菜炒腰花---蒙古烤羊腿---辣炒鱿鱼,0.017,1.0
焖猪手---爆炒猪肝---芹菜炒腰花---谷稻小庄---自制猪肉脯,0.017,1.0
孜然羊排---自制猪肉脯---辣炒鱿鱼,0.017,0.696
焖猪手---爆炒猪肝---芹菜炒腰花---谷稻小庄,0.017,0.516
蒙古烤羊腿---谷稻小庄---辣炒鱿鱼---凉拌菠菜,0.017,0.696
自制猪肉脯---芹菜炒腰花---蒙古烤羊腿---辣炒鱿鱼---焖猪手,0.017,1.0
爆炒猪肝---自制猪肉脯---芹菜炒腰花---谷稻小庄---焖猪手,0.017,0.889
剁椒鱼头---焖猪手---自制猪肉脯---芹菜炒腰花---凉拌菠菜,0.017,0.8
凉拌菠菜---剁椒鱼头---焖猪手---芹菜炒腰花---自制猪肉脯,0.017,0.842
焖猪手---爆炒猪肝---谷稻小庄---自制猪肉脯,0.017,0.842
焖猪手---爆炒猪肝---谷稻小庄---芹菜炒腰花,0.017,0.842
焖猪手---蒙古烤羊腿---豌豆薯仔猪骨汤---辣炒鱿鱼,0.017,0.842
蒙古烤羊腿---豌豆薯仔猪骨汤---辣炒鱿鱼---焖猪手,0.017,0.842
凉拌菠菜---美妙绝伦之白莲花---芹菜炒腰花---自制猪肉脯,0.017,0.842
剁椒鱼头---爆炒猪肝---自制猪肉脯---凉拌菠菜,0.017,0.842
焖猪手---爆炒猪肝---芹菜炒腰花---辣炒鱿鱼---自制猪肉脯,0.017,0.889
凉拌菠菜---剁椒鱼头---自制猪肉脯---芹菜炒腰花---焖猪手,0.017,0.8
凉拌菠菜---美妙绝伦之白莲花---自制猪肉脯---芹菜炒腰花,0.017,0.8
剁椒鱼头---芹菜炒腰花---辣炒鱿鱼---自制猪肉脯,0.017,0.8
焖猪手---自制猪肉脯---蒙古烤羊腿---芹菜炒腰花,0.017,0.8
焖猪手---自制猪肉脯---芝士烩波士顿龙虾---谷稻小庄,0.017,0.64
凉拌菠菜---芹菜炒腰花---蒙古烤羊腿---焖猪手,0.017,0.64
豌豆薯仔猪骨汤---香酥两吃大虾---焖猪手,0.017,0.64
剁椒鱼头---水煮鱼---辣炒鱿鱼,0.017,0.64
五色糯米饭(七色)---蛋挞---西瓜胡萝卜沙拉,0.017,0.64
自制猪肉脯---芹菜炒腰花---蒙古烤羊腿---焖猪手,0.017,0.941
焖猪手---爆炒猪肝---自制猪肉脯---谷稻小庄---芹菜炒腰花,0.017,1.0
姜葱炒花蟹---焖猪手---蒙古烤羊腿---凉拌菠菜,0.017,0.941
自制猪肉脯---芹菜炒腰花---蒙古烤羊腿---辣炒鱿鱼,0.017,0.941
凉拌菠菜---剁椒鱼头---焖猪手---自制猪肉脯---芹菜炒腰花,0.017,0.941
爆炒猪肝---自制猪肉脯---芹菜炒腰花---辣炒鱿鱼---焖猪手,0.017,0.941
焖猪手---爆炒猪肝---自制猪肉脯---辣炒鱿鱼---芹菜炒腰花,0.017,0.941
芹菜炒腰花---麻辣小龙虾---凉拌菠菜,0.017,0.615
凉拌菠菜---芹菜炒腰花---谷稻小庄---辣炒鱿鱼,0.017,0.615
凉拌菠菜---剁椒鱼头---自制猪肉脯---爆炒猪肝,0.017,0.615
水煮鱼---白胡椒胡萝卜羊肉汤---凉拌菠菜,0.017,0.696
焖猪手---芹菜炒腰花---谷稻小庄---爆炒猪肝,0.017,0.615
焖猪手---爆炒猪肝---自制猪肉脯---芹菜炒腰花---辣炒鱿鱼,0.017,0.615
焖猪手---爆炒猪肝---自制猪肉脯---芹菜炒腰花---谷稻小庄,0.017,0.615
凉拌菠菜---姜葱炒花蟹---焖猪手---蒙古烤羊腿,0.017,0.8
焖猪手---芹菜炒腰花---蒙古烤羊腿---辣炒鱿鱼---自制猪肉脯,0.017,0.941
焖猪手---自制猪肉脯---蒙古烤羊腿---辣炒鱿鱼---芹菜炒腰花,0.017,0.941
剁椒鱼头---焖猪手---蒙古烤羊腿---凉拌菠菜,0.017,0.8
凉拌菠菜---剁椒鱼头---豌豆薯仔猪骨汤---焖猪手,0.017,0.8
凉拌菠菜---姜葱炒花蟹---蒙古烤羊腿---辣炒鱿鱼,0.017,0.762
自制猪肉脯---芹菜炒腰花---豌豆薯仔猪骨汤---凉拌菠菜,0.017,0.8
爆炒猪肝---芹菜炒腰花---谷稻小庄---焖猪手,0.017,0.8
焖猪手---芹菜炒腰花---蒙古烤羊腿---自制猪肉脯,0.017,0.889
凉拌菠菜---孜然羊排---辣炒鱿鱼---蒙古烤羊腿,0.017,0.762
蒙古烤羊腿---豌豆薯仔猪骨汤---剁椒鱼头,0.017,0.516
剁椒鱼头---豌豆薯仔猪骨汤---蒙古烤羊腿,0.017,0.667
剁椒鱼头---焖猪手---爆炒猪肝---芹菜炒腰花,0.017,0.889
孜然羊排---蒙古烤羊腿---辣炒鱿鱼---凉拌菠菜,0.017,0.762
爆炒猪肝---自制猪肉脯---谷稻小庄---焖猪手,0.017,0.889
剁椒鱼头---自制猪肉脯---芹菜炒腰花---辣炒鱿鱼,0.017,0.667
芹菜炒腰花---谷稻小庄---辣炒鱿鱼---凉拌菠菜,0.017,0.667
凉拌菠菜---姜葱炒花蟹---辣炒鱿鱼---蒙古烤羊腿,0.017,0.667
自制猪肉脯---蒙古烤羊腿---辣炒鱿鱼---芹菜炒腰花,0.017,0.696
凉拌菠菜---自制猪肉脯---豌豆薯仔猪骨汤---芹菜炒腰花,0.017,0.889
美妙绝伦之白莲花---自制猪肉脯---芹菜炒腰花---凉拌菠菜,0.017,0.889
水煮鱼---番茄有机花菜---谷稻小庄,0.017,0.571
蛋挞---谷稻小庄---凉拌菠菜,0.017,0.571
清蒸海鱼---焖猪手---芝士烩波士顿龙虾,0.017,0.667
剁椒鱼头---焖猪手---芹菜炒腰花---爆炒猪肝,0.017,0.593
剁椒鱼头---孜然羊排---凉拌菠菜,0.017,0.667
凉拌菠菜---剁椒鱼头---焖猪手---豌豆薯仔猪骨汤,0.017,0.552
凉拌菠菜---剁椒鱼头---焖猪手---蒙古烤羊腿,0.017,0.552
白胡椒胡萝卜羊肉汤---蒙古烤羊腿---谷稻小庄,0.017,0.552
蒜香辣花甲---麻辣小龙虾---凉拌菠菜,0.017,0.552
焖猪手---爆炒猪肝---芹菜炒腰花---剁椒鱼头,0.017,0.516
哈尔滨啤酒罐装---麻辣小龙虾,0.017,0.552
焖猪手---芹菜炒腰花---蒙古烤羊腿---凉拌菠菜,0.017,0.889
剁椒鱼头---焖猪手---豌豆薯仔猪骨汤---凉拌菠菜,0.017,0.889
白胡椒胡萝卜羊肉汤---麻辣小龙虾---凉拌菠菜,0.017,0.516
剁椒鱼头---麻辣小龙虾---蒙古烤羊腿,0.017,0.516
自制猪肉脯---芹菜炒腰花---香酥两吃大虾---焖猪手,0.017,0.889
剁椒鱼头---爆炒猪肝---芹菜炒腰花---焖猪手,0.017,0.889
凉拌菠菜---爆炒猪肝---自制猪肉脯---剁椒鱼头,0.017,0.593
焖猪手---自制猪肉脯---芹菜炒腰花---辣炒鱿鱼---蒙古烤羊腿,0.017,0.552
姜葱炒花蟹---蒙古烤羊腿---辣炒鱿鱼---凉拌菠菜,0.017,0.941
焖猪手---芝士烩波士顿龙虾---谷稻小庄---自制猪肉脯,0.017,0.696
凉拌菠菜---剁椒鱼头---爆炒猪肝---自制猪肉脯,0.017,0.727
焖猪手---豌豆薯仔猪骨汤---辣炒鱿鱼---蒙古烤羊腿,0.017,0.727
焖猪手---自制猪肉脯---香酥两吃大虾---芹菜炒腰花,0.017,0.727
芹菜炒腰花---蒙古烤羊腿---辣炒鱿鱼---自制猪肉脯,0.017,0.727
焖猪手---芹菜炒腰花---香酥两吃大虾---自制猪肉脯,0.017,0.696
凉拌菠菜---芹菜炒腰花---豌豆薯仔猪骨汤---自制猪肉脯,0.017,0.762
自制猪肉脯---芝士烩波士顿龙虾---谷稻小庄---焖猪手,0.017,0.762
凉拌菠菜---蒙古烤羊腿---谷稻小庄---辣炒鱿鱼,0.017,0.593
焖猪手---自制猪肉脯---芹菜炒腰花---谷稻小庄---爆炒猪肝,0.017,0.64
焖猪手---蒙古烤羊腿---辣炒鱿鱼---豌豆薯仔猪骨汤,0.017,0.552
焖猪手---白胡椒胡萝卜羊肉汤---凉拌菠菜,0.017,0.593
焖猪手---自制猪肉脯---芹菜炒腰花---辣炒鱿鱼---爆炒猪肝,0.017,0.552
焖猪手---爆炒猪肝---自制猪肉脯---谷稻小庄,0.017,0.552
剁椒鱼头---自制猪肉脯---辣炒鱿鱼---芹菜炒腰花,0.017,0.696
剁椒鱼头---爆炒猪肝---芹菜炒腰花---自制猪肉脯,0.016,0.833
蛋挞---香烤牛排---西瓜胡萝卜沙拉,0.016,0.625
凉拌菠菜---剁椒鱼头---芹菜炒腰花---辣炒鱿鱼---焖猪手,0.016,0.882
凉拌菠菜---焖猪手---自制猪肉脯---豌豆薯仔猪骨汤---芹菜炒腰花,0.016,0.882
剁椒鱼头---辣炒鱿鱼---香酥两吃大虾---凉拌菠菜,0.016,0.833
剁椒鱼头---爆炒猪肝---芹菜炒腰花---凉拌菠菜,0.016,0.833
剁椒鱼头---焖猪手---爆炒猪肝---自制猪肉脯,0.016,0.833
剁椒鱼头---孜然羊排---辣炒鱿鱼,0.016,0.625
剁椒鱼头---豌豆薯仔猪骨汤---辣炒鱿鱼,0.016,0.625
凉拌菠菜---自制猪肉脯---谷稻小庄---辣炒鱿鱼---焖猪手,0.016,0.833
清蒸海鱼---焖猪手---凉拌菠菜,0.016,0.625
剁椒鱼头---芝士烩波士顿龙虾---焖猪手,0.016,0.625
剁椒鱼头---焖猪手---芹菜炒腰花---辣炒鱿鱼---自制猪肉脯,0.016,0.833
焖猪手---蒜香辣花甲---凉拌菠菜,0.016,0.625
焖猪手---自制猪肉脯---芹菜炒腰花---豌豆薯仔猪骨汤---凉拌菠菜,0.016,0.833
剁椒鱼头---焖猪手---芹菜炒腰花---辣炒鱿鱼---凉拌菠菜,0.016,0.833
凉拌菠菜---自制猪肉脯---谷稻小庄---辣炒鱿鱼---芹菜炒腰花,0.016,0.833
姜葱炒花蟹---焖猪手---辣炒鱿鱼---凉拌菠菜,0.016,0.882
冰糖红豆薏米粥---自制猪肉脯---谷稻小庄,0.016,0.625
凉拌菠菜---自制猪肉脯---芝士烩波士顿龙虾---谷稻小庄,0.016,0.789
剁椒鱼头---爆炒猪肝---自制猪肉脯---芹菜炒腰花,0.016,0.789
凉拌菠菜---芹菜炒腰花---蒙古烤羊腿---辣炒鱿鱼---焖猪手,0.016,0.789
焖猪手---自制猪肉脯---谷稻小庄---辣炒鱿鱼---凉拌菠菜,0.016,0.789
凉拌菠菜---焖猪手---谷稻小庄---辣炒鱿鱼---自制猪肉脯,0.016,0.789
凉拌菠菜---剁椒鱼头---焖猪手---辣炒鱿鱼---芹菜炒腰花,0.016,0.789
凉拌菠菜---剁椒鱼头---焖猪手---芹菜炒腰花---辣炒鱿鱼,0.016,0.789
凉拌菠菜---焖猪手---芹菜炒腰花---豌豆薯仔猪骨汤---自制猪肉脯,0.016,0.789
凉拌菠菜---焖猪手---自制猪肉脯---辣炒鱿鱼---蒙古烤羊腿,0.016,0.577
凉拌菠菜---焖猪手---自制猪肉脯---辣炒鱿鱼---谷稻小庄,0.016,0.577
焖猪手---谷稻小庄---辣炒鱿鱼---蒙古烤羊腿,0.016,0.577
凉拌菠菜---剁椒鱼头---芹菜炒腰花---爆炒猪肝,0.016,0.577
凉拌菠菜---辣炒鱿鱼---香酥两吃大虾---剁椒鱼头,0.016,0.577
炝炒大白菜---自制猪肉脯---谷稻小庄,0.016,0.577
芹菜炒腰花---豌豆薯仔猪骨汤---辣炒鱿鱼,0.016,0.577
清蒸海鱼---自制猪肉脯---芝士烩波士顿龙虾,0.016,0.577
剁椒鱼头---爆炒猪肝---自制猪肉脯---焖猪手,0.016,0.789
美妙绝伦之白莲花---豌豆薯仔猪骨汤---凉拌菠菜,0.016,0.789
凉拌菠菜---芝士烩波士顿龙虾---谷稻小庄---自制猪肉脯,0.016,0.625
凉拌菠菜---焖猪手---蒙古烤羊腿---辣炒鱿鱼---自制猪肉脯,0.016,0.6
凉拌菠菜---姜葱炒花蟹---辣炒鱿鱼---焖猪手,0.016,0.625
剁椒鱼头---自制猪肉脯---芹菜炒腰花---爆炒猪肝,0.016,0.625
凉拌菠菜---焖猪手---自制猪肉脯---蒙古烤羊腿---辣炒鱿鱼,0.016,0.882
焖猪手---自制猪肉脯---蒙古烤羊腿---辣炒鱿鱼---凉拌菠菜,0.016,0.882
焖猪手---芹菜炒腰花---蒙古烤羊腿---辣炒鱿鱼---凉拌菠菜,0.016,0.882
凉拌菠菜---焖猪手---蒙古烤羊腿---豌豆薯仔猪骨汤---辣炒鱿鱼,0.016,0.882
凉拌菠菜---蒙古烤羊腿---豌豆薯仔猪骨汤---辣炒鱿鱼---焖猪手,0.016,0.882
焖猪手---蒙古烤羊腿---谷稻小庄---辣炒鱿鱼,0.016,0.882
自制猪肉脯---芹菜炒腰花---蒙古烤羊腿---凉拌菠菜,0.016,0.882
焖猪手---辣炒鱿鱼---麻辣小龙虾---凉拌菠菜,0.016,0.833
孜然羊排---香酥两吃大虾---蒙古烤羊腿,0.016,0.6
凉拌菠菜---芹菜炒腰花---蒙古烤羊腿---自制猪肉脯,0.016,0.6
剁椒鱼头---焖猪手---辣炒鱿鱼---自制猪肉脯,0.016,0.6
凉拌菠菜---焖猪手---蒙古烤羊腿---辣炒鱿鱼---豌豆薯仔猪骨汤,0.016,0.6
凉拌菠菜---焖猪手---蒙古烤羊腿---辣炒鱿鱼---芹菜炒腰花,0.016,0.6
剁椒鱼头---焖猪手---爆炒猪肝---凉拌菠菜,0.016,0.833
凉拌菠菜---剁椒鱼头---豌豆薯仔猪骨汤---辣炒鱿鱼,0.016,0.75
剁椒鱼头---自制猪肉脯---芹菜炒腰花---辣炒鱿鱼---焖猪手,0.016,0.938
凉拌菠菜---自制猪肉脯---蒙古烤羊腿---芹菜炒腰花,0.016,0.652
剁椒鱼头---豌豆薯仔猪骨汤---辣炒鱿鱼---凉拌菠菜,0.016,1.0
剁椒鱼头---焖猪手---自制猪肉脯---辣炒鱿鱼,0.016,0.714
水煮鱼---豌豆薯仔猪骨汤---凉拌菠菜,0.016,0.652
孜然羊排---爆炒猪肝---凉拌菠菜,0.016,0.652
孜然羊排---自制猪肉脯---芹菜炒腰花,0.016,0.652
凉拌菠菜---焖猪手---麻辣小龙虾---辣炒鱿鱼,0.016,0.652
剁椒鱼头---焖猪手---自制猪肉脯---爆炒猪肝,0.016,0.714
凉拌菠菜---自制猪肉脯---芹菜炒腰花---谷稻小庄---辣炒鱿鱼,0.016,0.714
水煮鱼---焖猪手---辣炒鱿鱼---凉拌菠菜,0.016,0.652
焖猪手---芹菜炒腰花---香酥两吃大虾---凉拌菠菜,0.016,0.652
剁椒鱼头---焖猪手---自制猪肉脯---辣炒鱿鱼---芹菜炒腰花,0.016,1.0
凉拌菠菜---自制猪肉脯---芹菜炒腰花---辣炒鱿鱼---谷稻小庄,0.016,0.536
凉拌菠菜---焖猪手---自制猪肉脯---谷稻小庄---辣炒鱿鱼,0.016,0.682
凉拌菠菜---焖猪手---芹菜炒腰花---辣炒鱿鱼---剁椒鱼头,0.016,0.536
凉拌菠菜---焖猪手---芹菜炒腰花---辣炒鱿鱼---蒙古烤羊腿,0.016,0.536
凉拌菠菜---焖猪手---爆炒猪肝---剁椒鱼头,0.016,0.536
焖猪手---蒙古烤羊腿---豌豆薯仔猪骨汤---辣炒鱿鱼---凉拌菠菜,0.016,0.938
凉拌菠菜---焖猪手---芹菜炒腰花---蒙古烤羊腿---辣炒鱿鱼,0.016,0.938
凉拌菠菜---自制猪肉脯---芹菜炒腰花---豌豆薯仔猪骨汤---焖猪手,0.016,0.938
剁椒鱼头---自制猪肉脯---辣炒鱿鱼---焖猪手,0.016,0.652
蒙古烤羊腿---谷稻小庄---辣炒鱿鱼---焖猪手,0.016,0.652
清蒸海鱼---爆炒猪肝---芝士烩波士顿龙虾,0.016,0.536
芝士烩波士顿龙虾---芹菜炒腰花---谷稻小庄,0.016,0.536
清蒸海鱼---爆炒猪肝---谷稻小庄,0.016,0.536
水煮鱼---芹菜炒腰花---凉拌菠菜,0.016,0.652
凉拌菠菜---芹菜炒腰花---香酥两吃大虾---焖猪手,0.016,0.714
凉拌菠菜---剁椒鱼头---爆炒猪肝---芹菜炒腰花,0.016,0.682
凉拌蒜蓉西兰花---芹菜炒腰花---凉拌菠菜,0.016,0.75
凉拌菠菜---糖醋蕃茄溜青花---麻辣小龙虾,0.016,0.556
蒜香辣花甲---辣炒鱿鱼---凉拌菠菜,0.016,0.556
五色糯米饭(七色)---芹菜炒腰花---凉拌菠菜,0.016,0.556
凉拌菠菜---焖猪手---香酥两吃大虾---芹菜炒腰花,0.016,0.556
凉拌菠菜---豌豆薯仔猪骨汤---辣炒鱿鱼---剁椒鱼头,0.016,0.556
焖猪手---自制猪肉脯---芹菜炒腰花---辣炒鱿鱼---剁椒鱼头,0.016,0.517
焖猪手---爆炒猪肝---自制猪肉脯---剁椒鱼头,0.016,0.517
焖猪手---蒙古烤羊腿---辣炒鱿鱼---谷稻小庄,0.016,0.517
凉拌菠菜---剁椒鱼头---焖猪手---爆炒猪肝,0.016,0.517
凉拌菠菜---剁椒鱼头---爆炒猪肝---焖猪手,0.016,0.682
凉拌菠菜---芹菜炒腰花---谷稻小庄---辣炒鱿鱼---自制猪肉脯,0.016,0.938
凉拌菠菜---水煮鱼---辣炒鱿鱼---焖猪手,0.016,0.517
孜然羊排---芹菜炒腰花---自制猪肉脯,0.016,0.75
凉拌菠菜---姜葱炒花蟹---焖猪手---辣炒鱿鱼,0.016,0.75
孜然羊排---焖猪手---凉拌菠菜,0.016,0.714
自制猪肉脯---芝士烩波士顿龙虾---谷稻小庄---凉拌菠菜,0.016,0.714
凉拌菠菜---水煮鱼---焖猪手---辣炒鱿鱼,0.016,0.714
剁椒鱼头---焖猪手---自制猪肉脯---芹菜炒腰花---辣炒鱿鱼,0.016,0.75
自制猪肉脯---芹菜炒腰花---谷稻小庄---辣炒鱿鱼---凉拌菠菜,0.016,0.75
白胡椒胡萝卜羊肉汤---蒙古烤羊腿---凉拌菠菜,0.016,0.517
凉拌菠菜---自制猪肉脯---蒙古烤羊腿---辣炒鱿鱼---焖猪手,0.016,0.75
凉拌菠菜---焖猪手---豌豆薯仔猪骨汤---辣炒鱿鱼---蒙古烤羊腿,0.016,0.75
凉拌菠菜---剁椒鱼头---香酥两吃大虾---辣炒鱿鱼,0.016,0.75
凉拌菠菜---自制猪肉脯---谷稻小庄---芝士烩波士顿龙虾,0.016,0.536
剁椒鱼头---自制猪肉脯---蒙古烤羊腿---辣炒鱿鱼,0.015,0.933
